id,da aNo ificacao,ocupacaoSuspei oCli,ocupacaoSuspei oU i,ocupacaoConfirmadoCli,ocupacaoConfirmadoU i,ocupacaoCovidU i,ocupacaoCovidCli,ocupacaoHospi alarU i,ocupacaoHospi alarCli,saidaSuspei aObi os,saidaSuspei aAl as,saidaConfirmadaObi os,saidaConfirmadaAl as,origem,es adoNo ificacao,municipioNo ificacao,es ado,municipio,_crea ed_a,_upda ed_a,target
1290598,2022-01-01 03:00:26,0,0,0,0,2,4,2,35,0,3,0,0,parse-cloud,San a Ca arina,Laguna,San a Ca arina,Laguna,2022-01-01 12:03:00.091,2022-01-01 12:03:00.091,0
1290599,2022-01-01 03:00:55,0,0,0,0,45,31,100,186,0,0,0,0,parse-cloud,Pernambuco,Caruaru,Pernambuco,Caruaru,2022-01-01 12:03:08.472,2022-01-01 12:03:08.472,1
1290600,2022-01-01 03:00:51,0,0,0,0,0,6,15,101,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 12:04:37.234,2022-01-01 12:04:37.234,1
1290601,2022-01-01 03:00:57,0,0,0,0,3,3,48,175.00,0,1,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 12:04:53.480,2022-01-01 12:04:53.480,1
1290602,2022-01-01 03:00:20,0,0,0,0,6,3,0,9,0,0,0,1,parse-cloud,Minas Gerais,Arcos,Minas Gerais,Arcos,2022-01-01 12:04:59.270,2022-01-01 12:04:59.270,0
1290603,2022-01-01 03:00:12,0,0,0,0,0,0,0,190,0,0,0,0,parse-cloud,São Paulo,Amparo,São Paulo,Amparo,2022-01-01 12:06:57.079,2022-01-01 12:06:57.079,1
1290604,2022-01-01 03:00:18,0,0,0,0,0,0,0,11,0,0,0,0,parse-cloud,Paraná,Ubira ã,Paraná,Ubira ã,2022-01-01 12:09:13.603,2022-01-01 12:09:13.603,0
1290605,2022-01-01 03:00:12,0,0,0,0,0,0,0,26,0,0,0,0,parse-cloud,Espíri o San o,Jerônimo Mon eiro,Espíri o San o,Jerônimo Mon eiro,2022-01-01 12:10:41.263,2022-01-01 12:10:41.263,0
1290606,2022-01-01 03:00:11,0,0,0,0,5,12,15,32,0,4,0,0,parse-cloud,São Paulo,Marília,São Paulo,Marília,2022-01-01 12:12:12.049,2022-01-01 12:12:12.049,0
1290608,2022-01-01 03:00:47,0,0,0,0,0,0,0,12,0,0,0,0,parse-cloud,Minas Gerais,Barroso,Minas Gerais,Barroso,2022-01-01 12:13:40.176,2022-01-01 12:13:40.176,0
1290610,2022-01-01 03:00:24,0,0,0,0,1,4,18,99,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 12:13:51.547,2022-01-01 12:13:51.547,1
1290611,2022-01-01 03:00:59,0,0,0,0,1,3,39,106,0,0,0,0,parse-cloud,São Paulo,São Paulo,São Paulo,São Paulo,2022-01-01 12:14:01.328,2022-01-01 12:14:01.328,1
1290612,2022-01-01 03:00:33,0,0,0,0,1,3,18,83,0,9,0,0,parse-cloud,San a Ca arina,Florianópolis,San a Ca arina,Florianópolis,2022-01-01 12:15:00.813,2022-01-01 12:15:00.813,1
